dataset,horizon,outer_fold,model_seed,target_units,physical_minutes,source_run,source_hash,protocol_hash,model,role,candidate_id,selected_candidate,prediction_source,original_groups,aggregation,bias,mae,root_mean_group_mse
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,calibration,-1,0,saved prediction stream,21,equal original-group diagnostic; not pooled,0.007996406109613663,0.08751123090745733,0.1526495554937938
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,test,-1,0,saved prediction stream,41,equal original-group diagnostic; not pooled,-0.014231477220432581,0.07447077772664519,0.12451008457023499
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,fit,0,0,new inference from unchanged saved final model,61,equal original-group diagnostic; not pooled,0.00416795545932571,0.11292143519950511,0.20120077210574525
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,inner0_validation,-1,0,deterministic persistence on identical existing inner rows,20,equal original-group diagnostic; not pooled,-0.00818396226415094,0.1005424528301887,0.18749213819995883
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,inner1_validation,-1,0,deterministic persistence on identical existing inner rows,21,equal original-group diagnostic; not pooled,0.005008984725965863,0.13852201257861632,0.24294631310479467
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,xgboost,calibration,-1,1,saved prediction stream,21,equal original-group diagnostic; not pooled,0.011559128225760131,0.07410065033150921,0.11471723672123724
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,xgboost,test,-1,1,saved prediction stream,41,equal original-group diagnostic; not pooled,0.08041658375156788,0.24349519415380103,0.41148572415493
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,xgboost,fit,1,1,new inference from unchanged saved final model,61,equal original-group diagnostic; not pooled,1.800535929480417e-06,0.026368562849984633,0.03442093308834457
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,xgboost,inner0_validation,0,1,saved prediction stream,20,equal original-group diagnostic; not pooled,0.13059245100561184,0.16488105207119352,0.33077304180546896
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,xgboost,inner1_validation,0,1,saved prediction stream,21,equal original-group diagnostic; not pooled,0.5515059244921909,0.624049494915574,1.331790767291406
