dataset,outer_fold,role,contexts,complete_original_inference_blocks,minimum_five_blocks_met,precision_measured,iid_bernoulli_n_for_10pp_95_halfwidth_heuristic
pleia,0,inner0_selection,51,7,True,False,97
pleia,0,inner1_selection,51,7,True,False,97
pleia,0,outer_test,68,9,True,False,97
pleia,1,inner0_selection,38,5,True,False,97
pleia,1,inner1_selection,38,5,True,False,97
pleia,1,outer_test,68,9,True,False,97
pleia,2,inner0_selection,25,3,False,False,97
pleia,2,inner1_selection,25,3,False,False,97
pleia,2,outer_test,68,9,True,False,97
pleia_energy,0,inner0_selection,51,7,True,False,97
pleia_energy,0,inner1_selection,51,7,True,False,97
pleia_energy,0,outer_test,68,9,True,False,97
pleia_energy,1,inner0_selection,38,5,True,False,97
pleia_energy,1,inner1_selection,38,5,True,False,97
pleia_energy,1,outer_test,68,9,True,False,97
pleia_energy,2,inner0_selection,25,3,False,False,97
pleia_energy,2,inner1_selection,25,3,False,False,97
pleia_energy,2,outer_test,68,9,True,False,97
rico,0,inner0_selection,31,31,True,False,97
rico,0,inner1_selection,31,31,True,False,97
rico,0,outer_test,43,43,True,False,97
rico,1,inner0_selection,23,23,True,False,97
rico,1,inner1_selection,23,23,True,False,97
rico,1,outer_test,41,41,True,False,97
rico,2,inner0_selection,15,15,True,False,97
rico,2,inner1_selection,16,16,True,False,97
rico,2,outer_test,41,41,True,False,97
